"cnes";"tipo_hospital"
"2078287";"2"
"2078325";"2"
"2078570";"1"
"2080788";"1"
"2084473";"1"
"2088576";"1"
"2091585";"1"
"2091658";"1"
"2751852";"1"
"2751860";"1"
"2751925";"1"
"2751933";"1"
"2751976";"1"
"3001466";"1"
"3212130";"1"
"5420938";"1"
"5437156";"1"
"5451612";"2"
"5718368";"1"
"6123740";"2"
"6135749";"1"
"6136028";"1"
"6391869";"1"
"6998178";"1"
"6998194";"1"
"7019076";"1"
"7378394";"1"
"7711980";"1"
"7979649";"1"
"7992890";"1"
"9465464";"1"
"2082721";"1"
"9773657";"1"
"2081695";"1"
"9491112";"1"
"2083981";"1"
"4233646";"1"
"2079828";"1"
"2785188";"1"
"6024688";"2"
"2749319";"1"
"3126838";"1"
"3949621";"1"
"4099206";"2"
"2423464";"1"
"3663051";"2"
